item	itemLabel
Q1000070	Myron V. George
Q1000085	Frank P. Coburn
Q1000235	James P. Latta
Q1000841	Stephen A. Northway
Q1001235	Buddy Leach
Q101136890	Kathy Manning
Q101196462	August Pfluger
Q101196632	Jake Auchincloss
Q101196971	Blake Moore
Q101197341	Diana Harshbarger
Q101198561	Scott Franklin
Q1016602	Burleigh F. Spalding
Q1016882	Burr Harrison
Q1016893	Burr W. Jones
Q1017083	Burt L. Talcott
Q1017109	Burton E. Sweet
Q1017185	Burwell Boykin Lewis
Q1017188	Burwell Bassett
Q1017189	Burwell C. Ritter
Q1017939	Butler Ames
Q1017940	Butler B. Hare
Q1018322	Donald Lukens
Q1018599	Byron G. Rogers
Q1018602	Byron G. Stout
Q1018618	Byron L. Johnson
Q1018623	Byron M. Cutcheon
Q1018625	Byron N. Scott
Q102184540	Lisa McClain
Q1022421	C. Bascom Slemp
Q1022480	C. Frank Reavis
Q1022514	Charles Jasper Bell
Q1022579	Christian William Ramseyer
Q102277679	Andrew Clyde
Q102277702	Jerry Carl
Q1025419	Caesar Augustus Rodney
Q1026119	Cal Dooley
Q1026508	Caldwell Edwards
Q1026525	Caleb Blood Smith
Q1026544	Caleb Powers
Q1026548	Caleb R. Layton
Q1027026	Jeff Duncan
Q1027364	William J. O'Brien
Q1027372	William Griggs Stahlnecker
Q1027376	William Kimmel
Q1027386	Henry Winter Davis
Q1027427	John R. Fellows
Q1027431	Tim Wirth
Q1027501	Cornelius Leary
Q1027513	James Morrison Harris
Q1027517	Charles E. Phelps
Q1027643	Calvin C. Chaffee
Q1027646	Calvin Cowgill
Q1027656	Calvin Goddard
Q1027684	Alton R. Waldon
Q1027722	Calvin Paige
Q1028990	William Gordon
Q1029527	Steve Womack
Q1030483	Campbell Polson Berry
Q1032967	Frank T. Fitzgerald
Q1032977	Amos J. Cummings
Q1032998	Samuel S. Cox
Q1033201	John D. Lawson
Q1033206	Charles Henry Turner
Q1033225	James R. Howe
Q1033235	Mitchell May
Q1033258	Robert Baker
Q1035419	Herbert Pell
Q1037241	Carl C. Perkins
Q1037428	Carl D. Perkins
Q1037538	Carl E. Mapes
Q1038201	Carl G. Bachmann
Q103850475	Bob Good
Q10390	John McCain
Q10393681	William Cooper
Q1039613	Carl M. Weideman
Q1040749	Carl Thomas Durham
Q1040876	Carl Van Dyke
Q1040939	Carl Wood Riddick
Q1040943	Carl Vinson
Q1041025	Carl West Rich
Q1041657	Carleton Hunt
Q1042735	Carlos Bee
Q1042841	Carlos D. Shelden
Q1042906	Carlos French
Q1043079	Carlos Moorhead
Q1043441	Carlton Mobley
Q1043495	Carman A. Newcomb
Q1045188	Carroll Hubbard
Q1045838	Carter Bassett Harrison
Q1045864	Justin Smith Morrill
Q1045873	Carter Manasco
Q1045879	Carter Glass
Q104648170	Tony Gonzales
Q1046936	Case Broderick
Q1048182	Cass Ballenger
Q1048417	Cassius C. Dowell
Q1048426	Cassius M. Shartel
Q1050018	Adam Clayton Powell, Jr.
Q1050952	Catherine Dean May
Q1050956	Catherine Dorris Norrell
Q1052296	Cecil F. White
Q1052306	Cecil Heftel
Q1052319	Cecil M. Harden
Q1052337	Cecil R. King
Q10565017	Henry P. H. Bromwell
Q10567290	Michael L. Igoe
Q1059265	Chaka Fattah
Q106231	Daniel Webster
Q1062742	Chapman L. Anderson
Q1063454	Charles A. Barlow
Q1063458	Charles A. Boutelle
Q1063463	Charles A. Eldredge
Q1063465	Charles A. Crow
Q1063472	Charles A. Hill
Q1063473	Charles A. Kennedy
Q1063475	Charles A. Jonas
Q1063481	Charles A. Mooney
